machine,period,hours_used,hours_available,utilization
M1,1,62.5,76.9,0.812743823146944
M1,2,56.0,78.4,0.7142857142857142
M1,3,56.5,79.2,0.7133838383838383
M1,4,70.0,76.0,0.9210526315789473
M1,5,64.5,79.2,0.8143939393939393
M1,6,66.0,78.8,0.8375634517766498
M1,7,68.0,77.4,0.8785529715762274
M1,8,68.5,76.6,0.8942558746736293
M2,1,0.0,79.8,0.0
M2,2,0.0,77.3,0.0
M2,3,0.0,76.4,0.0
M2,4,0.0,76.4,0.0
M2,5,0.0,32.0,0.0
M2,6,0.0,79.4,0.0
M2,7,0.0,78.4,0.0
M2,8,0.0,79.2,0.0
M3,1,94.7,94.7,1.0
M3,2,93.8,93.8,1.0
M3,3,95.9,95.9,1.0
M3,4,93.0,93.0,1.0
M3,5,93.8,93.8,1.0
M3,6,95.2,95.2,1.0
M3,7,94.2,94.2,1.0
M3,8,95.3,95.3,1.0
M4,1,40.016666666666666,94.0,0.425709219858156
M4,2,28.816666666666674,94.6,0.30461592670895005
M4,3,33.191666666666656,91.4,0.3631473377097008
M4,4,41.0,92.3,0.4442036836403034
M4,5,47.59166666666667,92.6,0.5139488840892729
M4,6,46.43333333333332,91.6,0.5069141193595341
M4,7,46.875,92.3,0.507854821235103
M4,8,56.44166666666667,91.7,0.6155034532897129
M5,1,49.0,57.8,0.8477508650519031
M5,2,54.400000000000006,58.9,0.9235993208828525
M5,3,54.2,58.1,0.9328743545611016
M5,4,58.1,58.1,1.0
M5,5,57.6,57.6,1.0
M5,6,57.79999999999999,57.8,0.9999999999999999
M5,7,59.79999999999999,59.8,0.9999999999999999
M5,8,58.900000000000006,58.9,1.0000000000000002
