product,machine,period,units
P1,M1,1,125.0
P1,M1,2,112.0
P1,M1,3,113.0
P1,M1,4,140.0
P1,M1,5,129.0
P1,M1,6,132.0
P1,M1,7,136.0
P1,M1,8,137.0
P2,M3,1,93.66666666666666
P2,M3,2,111.66666666666664
P2,M3,3,123.16666666666669
P2,M3,4,113.5
P2,M3,5,113.16666666666666
P2,M3,6,119.33333333333336
P2,M3,7,105.5
P2,M3,8,107.66666666666666
P2,M4,1,114.33333333333334
P2,M4,2,82.33333333333336
P2,M4,3,94.83333333333331
P2,M4,4,112.5
P2,M4,5,123.83333333333334
P2,M4,6,112.66666666666664
P2,M4,7,117.5
P2,M4,8,137.33333333333334
P3,M3,1,148.0
P3,M3,2,134.0
P3,M3,3,131.0
P3,M3,4,131.0
P3,M3,5,133.0
P3,M3,6,132.0
P3,M3,7,139.0
P3,M3,8,140.0
P4,M4,4,6.5
P4,M4,5,17.0
P4,M4,6,28.0
P4,M4,7,23.0
P4,M4,8,33.5
P4,M5,1,245.0
P4,M5,2,272.0
P4,M5,3,271.0
P4,M5,4,290.5
P4,M5,5,288.0
P4,M5,6,288.99999999999994
P4,M5,7,298.99999999999994
P4,M5,8,294.5
